频道名|省份|地级市|频道分组
CCTV-4k|全国|全国|📺央视频道,#genre#
CCTV-8k|全国|全国|📺央视频道,#genre#
CCTV-1|全国|全国|📺央视频道,#genre#
CCTV-2|全国|全国|📺央视频道,#genre#
CCTV-3|全国|全国|📺央视频道,#genre#
CCTV-4|全国|全国|📺央视频道,#genre#
CCTV-5|全国|全国|📺央视频道,#genre#
CCTV-5+|全国|全国|📺央视频道,#genre#
CCTV-6|全国|全国|📺央视频道,#genre#
CCTV-7|全国|全国|📺央视频道,#genre#
CCTV-8|全国|全国|📺央视频道,#genre#
CCTV-9|全国|全国|📺央视频道,#genre#
CCTV-10|全国|全国|📺央视频道,#genre#
CCTV-11|全国|全国|📺央视频道,#genre#
CCTV-12|全国|全国|📺央视频道,#genre#
CCTV-13|全国|全国|📺央视频道,#genre#
CCTV-14|全国|全国|📺央视频道,#genre#
CCTV-15|全国|全国|📺央视频道,#genre#
CCTV-16|全国|全国|📺央视频道,#genre#
CCTV-16-4k|全国|全国|📺央视频道,#genre#
CCTV-17|全国|全国|📺央视频道,#genre#
CCTV-兵器科技|全国|全国|📺央视频道,#genre#
CCTV-第一剧场|全国|全国|📺央视频道,#genre#
CCTV-发现之旅|全国|全国|📺央视频道,#genre#
CCTV-风云剧场|全国|全国|📺央视频道,#genre#
CCTV-风云体育|全国|全国|📺央视频道,#genre#
CCTV-风云音乐|全国|全国|📺央视频道,#genre#
CCTV-高尔夫网球|全国|全国|📺央视频道,#genre#
CCTV-怀旧剧场|全国|全国|📺央视频道,#genre#
CCTV-女性时尚|全国|全国|📺央视频道,#genre#
CCTV-世界地理|全国|全国|📺央视频道,#genre#
CCTV-台球|全国|全国|📺央视频道,#genre#
CCTV-卫生健康|全国|全国|📺央视频道,#genre#
CCTV-文化精品|全国|全国|📺央视频道,#genre#
CCTV-央视精品|全国|全国|📺央视频道,#genre#
CCTV-中央新影中学生|全国|全国|📺央视频道,#genre#
CETV-1|全国|全国|📺央视频道,#genre#
CETV-2|全国|全国|📺央视频道,#genre#
CETV-3|全国|全国|📺央视频道,#genre#
CETV-4|全国|全国|📺央视频道,#genre#
CGTN阿拉伯语|全国|全国|📺央视频道,#genre#
CGTN俄语|全国|全国|📺央视频道,#genre#
CGTN法语|全国|全国|📺央视频道,#genre#
CGTN西班牙语|全国|全国|📺央视频道,#genre#
CGTN英文记录|全国|全国|📺央视频道,#genre#
CGTN英语|全国|全国|📺央视频道,#genre#
新闻综合|全国|全国|📺央视频道,#genre#
翡翠台|香港特别行政区|香港|🌊港·澳·台,#genre#
翡翠台-4k|香港特别行政区|香港|🌊港·澳·台,#genre#
明珠台|香港特别行政区|香港|🌊港·澳·台,#genre#
J2|香港特别行政区|香港|🌊港·澳·台,#genre#
Now华剧|香港特别行政区|香港|🌊港·澳·台,#genre#
Now剧集|香港特别行政区|香港|🌊港·澳·台,#genre#
TVBS亚洲|香港特别行政区|香港|🌊港·澳·台,#genre#
Viutv|香港特别行政区|香港|🌊港·澳·台,#genre#
艾尔达娱乐|台湾省|台北|🌊港·澳·台,#genre#
东森超视|台湾省|台北|🌊港·澳·台,#genre#
东森-超视|台湾省|台北|🌊港·澳·台,#genre#
东森电影|台湾省|台北|🌊港·澳·台,#genre#
东森-电影|台湾省|台北|🌊港·澳·台,#genre#
东森洋片|台湾省|台北|🌊港·澳·台,#genre#
东森-综合|台湾省|台北|🌊港·澳·台,#genre#
凤凰卫视|香港特别行政区|香港|🌊港·澳·台,#genre#
凤凰香港|香港特别行政区|香港|🌊港·澳·台,#genre#
凤凰中文|香港特别行政区|香港|🌊港·澳·台,#genre#
凤凰资讯|香港特别行政区|香港|🌊港·澳·台,#genre#
港台电视 31|香港特别行政区|香港|🌊港·澳·台,#genre#
港台电视 32|香港特别行政区|香港|🌊港·澳·台,#genre#
港台电视 36|香港特别行政区|香港|🌊港·澳·台,#genre#
靖天戏剧|香港特别行政区|香港|🌊港·澳·台,#genre#
靖天映画|香港特别行政区|香港|🌊港·澳·台,#genre#
靖天资讯|香港特别行政区|香港|🌊港·澳·台,#genre#
龙祥电影|香港特别行政区|香港|🌊港·澳·台,#genre#
三立台湾|台湾省|台北|🌊港·澳·台,#genre#
三立新闻|台湾省|台北|🌊港·澳·台,#genre#
天映经典|香港特别行政区|香港|🌊港·澳·台,#genre#
纬来电影|台湾省|台北|🌊港·澳·台,#genre#
纬来体育|台湾省|台北|🌊港·澳·台,#genre#
纬来育乐|台湾省|台北|🌊港·澳·台,#genre#
卫视卡式|香港特别行政区|香港|🌊港·澳·台,#genre#
无线新闻|香港特别行政区|香港|🌊港·澳·台,#genre#
无线新闻台|香港特别行政区|香港|🌊港·澳·台,#genre#
无线星河|香港特别行政区|香港|🌊港·澳·台,#genre#
香港卫视|香港特别行政区|香港|🌊港·澳·台,#genre#
星空卫视|香港特别行政区|香港|🌊港·澳·台,#genre#
星卫娱乐|香港特别行政区|香港|🌊港·澳·台,#genre#
中山公共|广东省|中山|☘️广东频道,#genre#
中山教育|广东省|中山|☘️广东频道,#genre#
中山香山文化|广东省|中山|☘️广东频道,#genre#
中山综合|广东省|中山|☘️广东频道,#genre#
广东新闻|广东省|广州|☘️广东频道,#genre#
广东珠江|广东省|广州|☘️广东频道,#genre#
广东民生|广东省|广州|☘️广东频道,#genre#
潮州民生|广东省|潮州|☘️广东频道,#genre#
潮州综合|广东省|潮州|☘️广东频道,#genre#
大湾区卫视|广东省|广州|☘️广东频道,#genre#
东莞生活资讯|广东省|东莞|☘️广东频道,#genre#
东莞新闻综合|广东省|东莞|☘️广东频道,#genre#
佛山公共|广东省|佛山|☘️广东频道,#genre#
佛山南海|广东省|佛山|☘️广东频道,#genre#
佛山顺德|广东省|佛山|☘️广东频道,#genre#
佛山影视|广东省|佛山|☘️广东频道,#genre#
佛山综合|广东省|佛山|☘️广东频道,#genre#
广东-4k|广东省|广州|☘️广东频道,#genre#
广东房产|广东省|广州|☘️广东频道,#genre#
广东广播电视移动频道|广东省|广州|☘️广东频道,#genre#
广东国际|广东省|广州|☘️广东频道,#genre#
广东少儿|广东省|广州|☘️广东频道,#genre#
广东体育|广东省|广州|☘️广东频道,#genre#
广东卫视|广东省|广州|☘️广东频道,#genre#
广东卫视-4k|广东省|广州|☘️广东频道,#genre#
广东影视|广东省|广州|☘️广东频道,#genre#
广东综艺-4k|广东省|广州|☘️广东频道,#genre#
广视课堂 初二|广东省|广州|☘️广东频道,#genre#
广视课堂 初三|广东省|广州|☘️广东频道,#genre#
广视课堂 初一|广东省|广州|☘️广东频道,#genre#
广视课堂 高二|广东省|广州|☘️广东频道,#genre#
广视课堂 高一|广东省|广州|☘️广东频道,#genre#
广视课堂 小学二|广东省|广州|☘️广东频道,#genre#
广视课堂 小学六|广东省|广州|☘️广东频道,#genre#
广视课堂 小学三|广东省|广州|☘️广东频道,#genre#
广视课堂 小学四|广东省|广州|☘️广东频道,#genre#
广视课堂 小学五|广东省|广州|☘️广东频道,#genre#
广视课堂 小学一|广东省|广州|☘️广东频道,#genre#
广州法治|广东省|广州|☘️广东频道,#genre#
